Cross,Gen,Gen_ID,Mortality,Carot,Conc_ug_ml,Conc_ug_ind,Conc_ng_mm,Length,Width,Oxygen,Oxygen_size,O2_plate_ID
BBxSD,F2,F2_1,Survived,Astaxanthin,0,0,0,0.802,0.321,-0.322438629,-0.402043179,1
BBxSD,F2,F2_2,Survived,Astaxanthin,0.2415253,0.007245759,9.44688266,0.767,0.299,-0.431467275,-0.562538821,1
SDxBB,F2,F2_3,Survived,Astaxanthin,0.275854,0.00827562,7.777838346,1.064,0.364,-0.745967871,-0.701097624,1
SDxBB,F2,F2_4,Survived,Astaxanthin,0.3760778,0.011282334,11.37332056,0.992,0.342,-0.797962235,-0.804397415,1
BBxSD,F2,F2_5,Survived,Astaxanthin,0.267040433,0.008011213,11.74664663,0.682,0.282,-0.277400158,-0.4067451,1
SDxBB,F2,F2_6,Survived,Astaxanthin,0.260875233,0.007826257,9.016425115,0.868,0.328,-0.456157047,-0.525526552,2
SDxBB,F2,F2_7,Survived,Astaxanthin,0.278103633,0.008343109,8.592285273,0.971,0.35,-0.571957828,-0.589039988,1
BBxSD,F2,F2_8,Survived,Astaxanthin,0.446771267,0.013403138,14.09373081,0.951,0.376,-0.469197289,-0.493372544,1
BBxSD,F2,F2_9,Survived,Astaxanthin,0.520896167,0.015626885,15.42634255,1.013,0.366,-0.757365479,-0.74764608,1
SDxBB,F2,F2_10,Survived,Astaxanthin,0.279897667,0.00839693,9.350701559,0.898,0.35,-0.464116915,-0.516833982,1
SDxBB,F2,F2_11,Survived,Astaxanthin,0,0,0,0.697,0.29,-0.382724003,-0.54910187,1
BBxSD,F2,F2_12,Survived,Astaxanthin,0,0,0,0.987,0.34,-0.707339109,-0.716655633,1
SDxBB,F2,F2_13,Survived,Astaxanthin,0.529254067,0.015877622,19.57783231,0.811,0.305,-0.599775623,-0.739550707,1
SDxBB,F2,F2_14,Survived,Astaxanthin,0.272123533,0.008163706,9.03064823,0.904,0.334,-0.777218819,-0.859755331,1
BBxSD,F2,F2_15,Survived,Astaxanthin,0.319281,0.00957843,10.04028302,0.954,0.345,-0.618741775,-0.648576285,1
SDxBB,F2,F2_16,Survived,Astaxanthin,0.1146188,0.003438564,5.339385093,0.644,0.273,-1.006876009,-1.563472064,1
SDxBB,F2,F2_17,Survived,Astaxanthin,0.436448433,0.013093453,14.18575623,0.923,0.323,-0.74246247,-0.804401376,1
BBxSD,F2,F2_18,Survived,Astaxanthin,0.480444967,0.014413349,14.02076751,1.028,0.447,-0.763832986,-0.743028197,1
BBxSD,F2,F2_19,Survived,Astaxanthin,0.653369867,0.019601096,20.00111837,0.98,0.387,-0.674392404,-0.688155514,2
